username,tweet
sebhielat,@pictoresa ate yung mga nakakuha ng cod slot need din mag fill-up ng form??? or shopee checkout lahat ng nakakuha ng cod slot ?? SANA GETS MO ATE T___T
pictoresa,"If wala kang Shopee account then gusto mo J&amp;T Express, choose J&amp;T Express (Door-to-Door). Sa Shopee pa rin namin padadaanin ʼyan so puwede COD."
kaymanjoho,Incase ada yg tak tau lagi korang boleh claim RM150 eBelia dekat sinii 👇  Check out eBelia 2021 on Shopee!  https://t.co/XgcaOsK3zA  https://t.co/uq5sFuANUA
surpriseboxalya,MELLOW COOKIES ( PREORDER ) RM16.90 only!  COD seluruh Ipoh FREE postage thru shopee  + 2 free gift 💚💚💚  https://t.co/MQYIlUiy77
resmanalbiceles,Saya menjual (BISA COD) JERSEY BOLA TURK... seharga Rp. Dapatkan di Shopee sekarang!  https://t.co/FCzBEQgOEd #ShopeeID  https://t.co/DwVUb7BwcZ
skincare_idn,"NEW avoskin ysb aa serum 155k dom malang jatim bisa cod, shopee free ongkir xtra. Minat dm @yokcariduit /biu/  https://t.co/JVDKJ370rw"
iswnyismail_,@blvckmiki shopee mall takde ke? kadang ada yg boleh cod terus for next day.
xiechens,WTS/LFB pls help rt 🙇‍♀️ it's 2.5k MOD: shopee/j&amp;t/abest MOP: bdo/gcash/shopee cod [pls do take note there will be additional for taxes]
projectmandoo,"#ProjectMandoo_Onhand  BTS Be Deluxe album Sealed P1,350 (last 4 stocks!)  💰Shopee COD, Gcash, BPI, BDO 📦Gogo / SDD 💌 DM to reserve   🏷wts lfb ph go  https://t.co/wtt3MDnpdC"
sachiofid,"@jaelanyyy08 SHOPEE KAMI BANYAK PROMO LHO😍Ada lampu ringlight dgn holder HP flexibel 2in1 utk livestream, selfie/makeup serta mini LED HP portable &amp; jg ada Velo mengobati kecanduan rokok. Masih ada produk lainya di toko kami. Area SBY bisa COD,Link shopee ada di profile kami yuk segera order  https://t.co/tN2Jf7UjKa"
neocartz_,Wts lfb  Nct dream unsealed hot sauce album - boring version-  Boring ver no pb pc (with cafe dream)  - jisung set = folded poster jisung + cafe dream jisung  ONHAND✨  Shipped under fast eta  Mop: gcash//cod Mod: shopee c/o Dop: PAYO- 3 days  Price: 650 (600 PAYO)  https://t.co/zJ0lxlPqzj
diahsally,"Kuping dengerin lagu BTS - Butter, tapi yang terucap di mulut malah lirik lagu Shopee COD.   “Shopee COD, Shopee COD. Bayar langsung di tempat.  Tanpa tabungan, tanpa rekening.  Pakai Shopee COD”"
asuncionjamille,"Wts/lfb ph/ Skool Luv Affair Sugapc  SLA Yoongi Photocard ~Onhand//Payo -450 PESOS‼ ~Brandnew// kakapull lungs &lt;33  shopee c/O  gcash COD bank transfer  tags: namjoon,suga,jimin, jin,hobi,taehyung,jungkook #MMSSONHAND   follow my shop @MyMagicShopSev1 &lt;33  https://t.co/pemBE569mA"
pwarkeu,"@Ohyuukanie @bertanyarl kalau ini aku blum tau kak, karena kurang paham yg cod shopee (misalnya) sama cod langsung sm seller itu beda kan yaa.. cmiiw"
purpleheart_ph,Onhand enhypen ggu ggu deco Package tingi Open for cod through shopee  - Free shipping min. spend of 249 🥰 . . Tags kpop enhypen wtt wts wtb album border carnival day one set pc photocard phb  https://t.co/Rpovqho7AL
mymagicshopsev1,"Wts/lfb ph/ Skool Luv Affair Sugapc  SLA Yoongi Photocard ~Onhand//Payo -450 PESOS‼ ~Brandnew// kakapull lungs &lt;33  shopee c/O  gcash COD bank transfer  tags: namjoon,suga,jimin, jin,hobi,taehyung,jungkook #MMSSONHAND  https://t.co/1sW75RxWSz"
busanapria,Saya menjual BPS COD [busanapriash... seharga Rp75.000. Dapatkan di Shopee sekarang!  https://t.co/VQOJrd2G3K #ShopeeID  https://t.co/XHFtVRZMbr
beautyskin_dear,"@sembilanbels01 Thank you❤️ Hi, anyone yang nak purchase zarzou product boleh order dengan awatif🥰   Cod area 🌻Sungai Buloh 🌻Kuang   🛒 https://t.co/WD1HipwkCA 📲 https://t.co/rEluWshQDI  ✅Freeshipping thru Shopee ✅Freegift  https://t.co/j385akRC47"
kfunshopmnl,•Yes to COD kapag J&amp;T mode of delivery sa shopee! •GGX accepts online payment only.   💜✨
beautyskin_dear,"@FreeRTKL Thank you❤️ Hi, anyone yang nak purchase zarzou product boleh order dengan awatif🥰   Cod area 🌻Sungai Buloh 🌻Kuang   🛒 https://t.co/WD1HipwkCA 📲 https://t.co/rEluWshQDI  ✅Freeshipping thru Shopee ✅Freegift  https://t.co/g970vKYP1l"
beautyskin_dear,"@yourfairybabe Thank you❤️ Hi, anyone yang nak purchase zarzou product boleh order dengan awatif🥰   Cod area 🌻Sungai Buloh 🌻Kuang  🌻Saujana Utama 🌻Paya Jaras 🌻Desa Coalfields 🌻Shah Alam  🛒 https://t.co/WD1HipwkCA 📲 https://t.co/rEluWshQDI  ✅Freeshipping thru Shopee ✅Freegift  https://t.co/oRBRpmuyBN"
stan9_twice,Looking for sealed/unsealed twice albums any version with complete inclusions and if possble POBs are included. Drop your lowest offer @twicetradingPH @Twicemarketph  Note: i prefer onhand and can be checked out through shopee COD but i can also consider ordering under normal eta
beautyskin_dear,"@FreeRTBiz Thank you❤️ Hi, anyone yang nak purchase zarzou product boleh order dengan awatif🥰   Cod area 🌻Sungai Buloh 🌻Kuang   🛒 https://t.co/WD1HipwkCA 📲 https://t.co/rEluWshQDI  ✅Freeshipping thru Shopee ✅Freegift  https://t.co/1mzF0FxQfR"
4o188,shopee cod shopee cod
skinfluencermy,Yang dah dapat claim e belia tapi tak tahu nak beli apa tu boleh cuba temyracle scrub 🥰 murah je &amp; sangat best woohooo  🛁 [body scrub] RM30/400g 🧴 [all over mist] RM35  ✅ free shipping shopee ✅ COD cover area: 📍Kodiang - Bandar Darulaman  Link💛   https://t.co/oxPJ3QZnfW  https://t.co/gRcpEDHaJT
ualat_jewell,Bat kasi cod lang sa shopee alam ko.
kshop_laburi,@LazaroAccel NO COD PO SHOPEE C/O LANG PO
frsyhmsh,@iman_mamasab Terima kasih ☺️. Hi guys!!! Saya ada jual spicy salted egg cornflakes dan chocojar. 💯 saya buat sendiri. Boleh postage dan cod (klang&amp;shah alam).Berminat boleh ws  https://t.co/pXfp5XJFvG Nak free shipping boler order di shopee  https://t.co/w2oWmSIvuP  https://t.co/y00gaWfcYL
frsyhmsh,@tudungfiqa Thanks 🥰. Hi guys!!! Saya ada jual spicy salted egg cornflakes dan chocojar. 💯 saya buat sendiri. Boleh postage dan cod (klang&amp;shah alam).Berminat boleh ws  https://t.co/pXfp5XJFvG Nak free shipping boler order di shopee  https://t.co/w2oWmSIvuP  https://t.co/wOQerAUmj0
busanapria,Saya menjual BPS COD Stelan Cewek ... seharga Rp68.000. Dapatkan di Shopee sekarang!  https://t.co/7Vzjf3Jak5 #ShopeeID  https://t.co/IdWeFnzHES
frsyhmsh,@FreeRTKL Thank you. Hi guys!!! Saya ada jual spicy salted egg cornflakes dan chocojar. 💯 saya buat sendiri. Boleh postage dan cod (klang&amp;shah alam).Berminat boleh ws  https://t.co/pXfp5XJFvG Nak free shipping boler order di shopee  https://t.co/w2oWmSIvuP  https://t.co/QKO8Vb3Sdg
lafwife,"@JUALAN_BASE Aku adanya buat rambut nih.. Msh baru, 95k aja ..bisa shopee.. Dom bdg bs free ong/cod  https://t.co/DVatKTP6iK"
_ikanlaut,"""shopee cod, shopee cod, bentak langsung di tempat""  https://t.co/zRnbxc4E9Y"
sebatasyasudah,eh siaran shopee cod dan bansos juga ding
hannarixiesph,REPRICED : 120 EACH !!  135 if shopee cod
ahgase_miki,GUSTO KO NG VERSE 2 PAIYAQ NA AKO PRAMIS SAN MAY VERSE 2 NA SHOP SA SHOPEE HUHUHU PARA COD
kiearalexycess,WTS LFB Blackpink Merch Rosé album unsealed -450 Rosé Sealed without POB -700 Rosé Sealed with Ktown4u POB-1050 Rosé Sealed with Ygselect POB-1150 Rosé album POB Ygselect-450 Lisa Vol.2 Photobook POB  Ktown4u-400set Ygselect-500set Shopee COD  https://t.co/RN3xmfJ7uH
ncityzoned,@jeongkdy Umm di po pwede COD?? if mag shopee checkout?
greenheartph,"GHPH Anniversary Cupsleeve Kit  🧧Php 190 + LSF 🗓️DOO/DOP: June 25, 2021 🚢LSF is COD or via Shopee checkout  Order form:  https://t.co/69QeAtni5M  ⚠️Please read the form carefully before ordering  https://t.co/tVjeKgcxwb"
lcbwbuys,@PRTTYSVG_LISA Try mo sa shopee minsan may mga shop na nag ooffer ng cod din
architectvia,@onlycjaile kahit wala bang cod slot oki lang na shopee checkout?
koreluvph,@bangtanjeon24 ang bilis naman hahahahahahhaha 💜🥰 wait mo DM ko for Shopee Voucherrrr 🤗💜
dounnieshop,"💗BEAUTY &amp; SKINCARE 💗  [UPDATE STOK &amp; HARGA] Yuk kak dijamin murmer, start from 7k😊  🔅bisa shopee  https://t.co/gCaCAxz93Z 🔅bisa tokopedia  https://t.co/C2nCWNCwa0 🔅dom semarang bisa request COD, tempat dan waktu menyesuaikan  #testidokyunie97  https://t.co/lMRIGsawCP"
audi_mayunda,@BehelJaran @ulinhafidzati @PotterWorldUK Shopee COD maksud e?
koreluvph,"baka medj inactive and slow replies ako bukas, hulaan nyo kung bakit hihi. una makahula may 39 pesos off voucher sa Shopee gooooooo! Hahahhaha"
haechieyyy,"WTS Nct Dream Album Only Hot Sauce Crazy Ver.  Include : cover, postcard book, photobook, thanks to letter, folded poster (Mark), sticker+bonus  💸130k bisa nego 💸Bisa 🍊  📍diutamakan dom sby, sby selatan bisa cod tanpa shopee.  Ps : di trade album only boring/chilling bisa dm  https://t.co/N0PxdIMxen"
pictoresa,"@arkinoIiv hi baeee, depende na ʼyun sa pipiliin mo kapag chineck out mo na siya sa shopee. COD, shopeepay, etc."
orangeears_ph,"WTS/LFB SHINEE - Atlantis Unsealed Album  P575 (w/o pob poster) P750 (w/ pob poster) +P45 (poster tube)  - Onhand - Full inclu except Photocard &amp; Postcard - Still has the plastic  MOP: GCash, COD (via shopee) MOD: Shopee C/O, GGX  https://t.co/zigp3V6XaC"
99sukie,guys kalo shopee cod nanti saldonya dari shopee apa gmn?
icandyhshoppe,"@Pink_Jieuni @misschachic We have onhand po. You can check out sa Shopee. COD available po   Selling [COD ONHAND] IU Lilac 5th Album with Poster (FREE POSTER TUBE) for ₱1,215. Get it on Shopee now!  https://t.co/3vkGW3ihiu"
hanquokkacart,"wts stray kids ph / lfb stray kids ph  Official Postcard 📌25ea, 45 if full shopee cod ☑️ Mixtape ☑️ hyunjin, bang chan, i.n, han (in life) ☑️☑️ changbin, seungmin, lee know, felix (in life) - onhand - in good condition  *check pinned *reply ""mine + item"""
myqueenjenlisa,@woolliyy @bertanyarl Shopee  jalur COD kak 😭
wnscart,"wts / lfb / help rt pls  ☁️ Going Seventeen Album Set ☁️Seungkwan Pc Set ☁️ONHAND ☁️prio is to sell it as set  ☁️see thread for tingi prices  🛒MOP: Gcash/cod (with fees) 🚚MOD: shopee co, ggx  https://t.co/3vfVkix1E3"
ahjumasells,𝗪𝗢𝗢𝗗𝗭 𝗦𝗚 × unsealed season greetings 2021 inclusions : • outbox | desk calendar | memo board | door sign | folded poster | stickers | double sided postcards | qr code | memo pad • P1800  MOP : Gcash/COD MOD : Shopee Check-out  https://t.co/0wvx26njsv
_jnnrbyjncart,WTS / LFB PH #jnnrbyjnonhands [ONHAND &amp; Ready to Ship]  ✅Can do Full COD thru SHOPEE add. fee ✅SHOPEE Checkout 📌PAYO 📌MOP: Gcash  A. ₱650 set B. ₱750 set C. ₱400 only D. ₱120 each   Mine + Letter 📌First to mine the A or B tags blackpink ph bp lisa jennie rose jisoo  https://t.co/MxYYwMZXZx
nick0nuck,@bayu_joo @saowsssss Bisa COD / Bayar di Tempat  ∆ Tokped  https://t.co/aihmnjvgZz   ∆ Shopee  https://t.co/mKehtOGYNH  https://t.co/YsiWs5OTtq
eonjenasope,🙏🏼 PLS RT 🇵🇭 (WTS/LFB)  🧈Butter Cardigan PC Tingi (🙅🏻‍♀️ won't be sold individually)  ✓ YoonMin  💸 760+sf / set of 2 (payment will be divided into 2)  1st Payment: 330 per set PAYO 2nd Payment: 430 shopee COD upon arrival  **secured from 2nd PO **shipping starts on August 15  https://t.co/6082ghy7oG
jeonjcakes,"someone already checked out 5th muster as set thru shopee ❌  still avail and (COD ok, checkout thru shopee) ✅namjoon memo 2019 ✅hobi memo 2019   https://t.co/NTQKsBoviC"
sh7cart,"wts/lfb i still have scoups/seungcheol henggarae POB photocard from ktown4u! pero it's for 75 pesos on my shopee hehe can do cod :) and if you want with toploader, you can also add 10 pesos lang"
nick0nuck,@ahdwik__ Bisa COD / Bayar di Tempat  ∆ Tokped  https://t.co/aihmnjvgZz   ∆ Shopee  https://t.co/mKehtOGYNH  https://t.co/2fnk6aItZ5
nick0nuck,@vicadibacavika Bisa COD / Bayar di Tempat  ∆ Tokped  https://t.co/aihmnjvgZz   ∆ Shopee  https://t.co/mKehtOGYNH  https://t.co/wJhvOKEtnR
pictoresa,"Hi, yes you can choose SHOPEE CHECKOUT kahit wala kang slot ng COD.   Sa mga nakakuha ng COD slot, palagay na lang sa invoice number ""COD"" dahil wala kayong invoice number hehe."
ynahhhcart,"UNSEALED ✔️LY ANSWER - 390 ✔️YNWA Complete Inclusion no PC -320 ✔️MOTS7 Ver 3 no PC -420  Extra Sealed Albums ✔️YNWA Peach - 850  For PC Collectors just send me a dm, I also have PC's.  📍READY TO BE SHIPPED TODAY. ❌NO COD ❌NO SHOPEE C/O ❌NO RESERVATION  #lfb #wtsbts #BTSARMY  https://t.co/lFijJDmlzF"
daviannarye,"@pictoresa ate pag shopee checkout ba, cod 'yung shipping fee?"
gwainful,"@pictoresa hello ask ko lang, what if shopee checkout ang pinili, pwedeng cod ang shipping fee?"
daviannarye,"pag shopee checkout ba, cod shipping fee?"
user777notfound,@justch1l Pengennya Shopee biar kalo COD bacok-bacokan
danielshawarman,4 copies still available ‼  wts lfb onhand ph   SEALED ttt vol 1 - hoshi  970 each   payo or can cod thru shopee (with added fees)   hoshi kwon soonyoung the thirteen tapes pc photocard horanghae seventeen svt carat
iuveria,pag ba shopee checkout cod shipping fee🥲
cherryhyunho,"wts lfb hot sauce nct onhand ph   jeno cafe dream pc - 300php  mop:gcash, payo mod: jnt shopee or ggx cod  i'll send more pics through dm!  https://t.co/4nWM5ki1ka"
enhypenmerchph,Ito nalang po available na onhand!  3 PCS DOWN VER. (SEALED) 3 PCS UP VER. (SEALED) Price: P950 each  3 SETS ALADIN POB(HOLO PC) Price: P430 per set  Available for COD in shopee!   https://t.co/J43eSiz9IU  https://t.co/fM4RxtYhIG
hannarixiesph,"❥ MOP : BPI, GCASH, COD VIA SELECTED MOD (except for grab nationwide + quixpress ) ❥ MOD :  - shopee checkout, gogoexpress, lalamove, grab &amp; grab nationwide, quixpress &amp; mrspeedy"
kiearalexycess,ONHAND WTS|LFB Lisa Photobook Vol 2 POB Ktown4u and Ygselect Can do shopee COD Add 50 and shopee Checkout thru gcash payment ktown POB-350 ygselect POB-450 #BLACKPINK #LisaManoban
hannarixiesph,"🚩COD   for shopee cod, it has +15 fee.   https://t.co/bZqx50zxlg"
aespaoutsold,wts lfb ph only  onhand ROSÉ -R- ktown 4U pob  ⌗ full COD via shopee ✿  ꔛ 330 php per pob set (3 pieces)  ⌗ the album blackpink lisa jennie jisoo summer diary sdih show  https://t.co/Ta6wFtpTJO
aespaoutsold,wts lfb ph only &gt;_&lt;  onhand ROSÉ -R- album  ⌗ full COD via shopee ✿  ꔛ sealed ꔛ complete inclusions ꔛ 750 php with folded poster ꔛ 939 php with ktown4U pob set &amp; folded poster   ⌗ the album blackpink lisa jennie jisoo summer diary sdih show  https://t.co/bXzzbHmDRp
sunfiowerst,@menanghatinya @untittled_ @bertanyarl Shopee cod shopee cod
lomigwya,@pictoresa pwede shopee checkout ate kahit fully paid and hindi cod?
iuveria,@pictoresa shopee checkout ba ate lei cod shipping fee??
resmanalbiceles,Saya menjual (BISA COD) JERSEY BOLA JERM... seharga Rp. Dapatkan di Shopee sekarang!  https://t.co/RmKVl1i0E4 #ShopeeID  https://t.co/JyWeeGdkWX
clydenboo,"@pictoresa ateee lei shopee checkout pinili ko sa mode of delivery pero hindi ako kasali sa mga nakakuha ng COD slots, pwede pa rin po ba???"
resmanalbiceles,Saya menjual (BISA COD) BAJU BOLA JERMAN... seharga Rp. Dapatkan di Shopee sekarang!  https://t.co/rqC9O59zqf #ShopeeID  https://t.co/Ui1TPFyNZR
untittled_,@bertanyarl shopee cod shopee cod
loeymart,"🔜 #LOEYMART_OH onhand pc wts ph  EXO CHANYEOL 더 박스  The Box OST Album   💸 Php98O +LSF ❗️ SEALED &amp; NEW, never used ⭕️ COD available via Shopee 💌 Please send a DM to INQUIRE/order  https://t.co/xivJdEMiN8"
theflyingsoser4,@weirdfrawer @RedReivonne Ano gusto mo nga christmas gift meg? Orderan taka sa shopee COD lang galing
fangirlistaph,6.6 SALE Bet niyo ba? Paubos Stocks lang. I don't have spaces na kasi  All Unsealed albums.   Prices range from php100 - php120 (no LSF yet)  Pwede din Shopee Checkout COD 🥰
jualpcptg,"[HELP RT] INA ONLY want to sell Love or Take album only pentagon  📍Dom Padang bisa COD Bisa keep event shopee  Printilan lengkap minus pc aja. Cover: Sporty Hui, Romantic Hongseok, Mild Kino 💰 85k/each bisa nego  t. ptg wts wtb album lot ready ina  https://t.co/PkpyTvtlU4"
kachineph,wts|lfb   itzy may kit -yeji set  ♡ 200 pesos  -shopee checkout -cod  -onhand  #itzy  https://t.co/7b1V5Z26Xe
kachineph,"wts/lfb   ○ enhypen ggu ggu package member set      - 100 pesos each  &gt;nik, heeseung, sunoo jay available   ♡ onhand ♡ cod ♡ shopee checkout  https://t.co/ijrsJjEPOd  https://t.co/Q7r3m0rGm3"
kachineph,"wts/lfb ○ enhypen ggu ggu package   &lt;&gt; photocards       - 120 pesos each  &lt;&gt; notebook + outbox      - 100 pesos &lt;&gt; accordion, postcard, 4 cut, 2 stickers      - 120 pesos &lt;&gt;photobook       - 110 pesos   + 5 for packaging fee  ♡ cod ♡ shopee checkout  ♡ onhand  https://t.co/SxKjDWIjNv"
goldenmoonkshop,JK TAKEN SG TAKEN
mimosaver_,@Hakyuwoo1 hello po!hindi po ako makapag cod as of now may error kasi shopee balance ko diko ma withdraw ung money
